Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-59.788280487060547;-59.788280487060547
0.047500000000000001;-59.794387817382813;-59.794387817382813
0.095000000000000001;-59.722480773925781;-59.722480773925781
0.14250000000000002;-59.793643951416016;-59.793643951416016
0.19;-59.820159912109375;-59.820159912109375
0.23749999999999999;-59.798091888427734;-59.798091888427734
0.28499999999999998;-59.674678802490234;-59.674678802490234
0.33249999999999996;-59.852783203125;-59.852783203125
0.37999999999999995;-59.824810028076172;-59.824810028076172
0.42749999999999994;-59.834754943847656;-59.834754943847656
0.47499999999999992;-59.8262939453125;-59.8262939453125
0.52249999999999996;-59.726882934570313;-59.726882934570313
0.56999999999999995;-59.626132965087891;-59.626132965087891
0.61749999999999994;-59.609081268310547;-59.609081268310547
0.66499999999999992;-59.583564758300781;-59.583564758300781
0.71249999999999991;-59.606307983398438;-59.606307983398438
0.7599999999999999;-59.774044036865234;-59.774044036865234
0.80749999999999988;-59.754299163818359;-59.754299163818359
0.85499999999999987;-59.744537353515625;-59.744537353515625
0.90249999999999986;-59.560699462890625;-59.560699462890625
0.94999999999999984;-59.616123199462891;-59.616123199462891
0.99749999999999983;-59.666278839111328;-59.666278839111328
1.0449999999999999;-59.610378265380859;-59.610378265380859
1.0925;-59.620758056640625;-59.620758056640625
1.1400000000000001;-59.670841217041016;-59.670841217041016
1.1875000000000002;-59.618904113769531;-59.618904113769531
1.2350000000000003;-59.660263061523438;-59.660263061523438
1.2825000000000004;-59.693141937255859;-59.693141937255859
1.3300000000000005;-59.649150848388672;-59.649150848388672
1.3775000000000006;-59.616870880126953;-59.616870880126953
1.4250000000000007;-59.629478454589844;-59.629478454589844
1.4725000000000008;-59.615573883056641;-59.615573883056641
1.5200000000000009;-59.535682678222656;-59.535682678222656
1.567500000000001;-59.602603912353516;-59.602603912353516
1.6150000000000011;-59.54229736328125;-59.54229736328125
1.6625000000000012;-59.580608367919922;-59.580608367919922
1.7100000000000013;-59.608901977539063;-59.608901977539063
1.7575000000000014;-59.547992706298828;-59.547992706298828
1.8050000000000015;-59.512577056884766;-59.512577056884766
1.8525000000000016;-59.555908203125;-59.555908203125
1.9000000000000017;-59.539905548095703;-59.539905548095703
1.9475000000000018;-59.525405883789062;-59.525405883789062
1.9950000000000019;-59.466545104980469;-59.466545104980469
2.0425000000000018;-59.428249359130859;-59.428249359130859
2.0900000000000016;-59.51568603515625;-59.51568603515625
2.1375000000000015;-59.503787994384766;-59.503787994384766
2.1850000000000014;-59.390357971191406;-59.390357971191406
2.2325000000000013;-59.399578094482422;-59.399578094482422
2.2800000000000011;-59.467086791992188;-59.467086791992188
2.327500000000001;-59.497024536132813;-59.497024536132813
2.3750000000000009;-59.460895538330078;-59.460895538330078
2.4225000000000008;-59.463993072509766;-59.463993072509766
2.4700000000000006;-59.397365570068359;-59.397365570068359
