Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-48.989234924316406;-48.989234924316406
0.047500000000000001;-48.977699279785156;-48.977699279785156
0.095000000000000001;-48.984653472900391;-48.984653472900391
0.14250000000000002;-48.980991363525391;-48.980991363525391
0.19;-48.971294403076172;-48.971294403076172
0.23749999999999999;-48.987766265869141;-48.987766265869141
0.28499999999999998;-48.989051818847656;-48.989051818847656
0.33249999999999996;-48.994182586669922;-48.994182586669922
0.37999999999999995;-49.002803802490234;-49.002803802490234
0.42749999999999994;-49.001518249511719;-49.001518249511719
0.47499999999999992;-49.018966674804688;-49.018966674804688
0.52249999999999996;-49.009593963623047;-49.009593963623047
0.56999999999999995;-49.003170013427734;-49.003170013427734
0.61749999999999994;-48.998767852783203;-48.998767852783203
0.66499999999999992;-49.023933410644531;-49.023933410644531
0.71249999999999991;-49.024303436279297;-49.024303436279297
0.7599999999999999;-49.054710388183594;-49.054710388183594
0.80749999999999988;-49.035530090332031;-49.035530090332031
0.85499999999999987;-49.0657958984375;-49.0657958984375
0.90249999999999986;-49.070049285888672;-49.070049285888672
0.94999999999999984;-49.080410003662109;-49.080410003662109
0.99749999999999983;-49.091526031494141;-49.091526031494141
1.0449999999999999;-49.095237731933594;-49.095237731933594
1.0925;-49.099319458007813;-49.099319458007813
1.1400000000000001;-49.111133575439453;-49.111133575439453
1.1875000000000002;-49.122970581054687;-49.122970581054687
1.2350000000000003;-49.124248504638672;-49.124248504638672
1.2825000000000004;-49.130630493164063;-49.130630493164063
1.3300000000000005;-49.145233154296875;-49.145233154296875
1.3775000000000006;-49.147243499755859;-49.147243499755859
1.4250000000000007;-49.183868408203125;-49.183868408203125
1.4725000000000008;-49.211807250976563;-49.211807250976563
1.5200000000000009;-49.228389739990234;-49.228389739990234
1.567500000000001;-49.223964691162109;-49.223964691162109
1.6150000000000011;-49.257770538330078;-49.257770538330078
1.6625000000000012;-49.292453765869141;-49.292453765869141
1.7100000000000013;-49.316658020019531;-49.316658020019531
1.7575000000000014;-49.315746307373047;-49.315746307373047
1.8050000000000015;-49.350963592529297;-49.350963592529297
1.8525000000000016;-49.347850799560547;-49.347850799560547
1.9000000000000017;-49.402675628662109;-49.402675628662109
1.9475000000000018;-49.425140380859375;-49.425140380859375
1.9950000000000019;-49.453220367431641;-49.453220367431641
2.0425000000000018;-49.460437774658203;-49.460437774658203
2.0900000000000016;-49.513957977294922;-49.513957977294922
2.1375000000000015;-49.541343688964844;-49.541343688964844
2.1850000000000014;-49.579090118408203;-49.579090118408203
2.2325000000000013;-49.582401275634766;-49.582401275634766
2.2800000000000011;-49.626605987548828;-49.626605987548828
2.327500000000001;-49.643791198730469;-49.643791198730469
2.3750000000000009;-49.675945281982422;-49.675945281982422
2.4225000000000008;-49.712959289550781;-49.712959289550781
2.4700000000000006;-49.728321075439453;-49.728321075439453
