Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-62.448173522949219;-62.448173522949219
0.047500000000000001;-62.540103912353516;-62.540103912353516
0.095000000000000001;-62.50897216796875;-62.50897216796875
0.14250000000000002;-62.576679229736328;-62.576679229736328
0.19;-62.428558349609375;-62.428558349609375
0.23749999999999999;-62.522514343261719;-62.522514343261719
0.28499999999999998;-62.555152893066406;-62.555152893066406
0.33249999999999996;-62.532035827636719;-62.532035827636719
0.37999999999999995;-62.529659271240234;-62.529659271240234
0.42749999999999994;-62.519397735595703;-62.519397735595703
0.47499999999999992;-62.521232604980469;-62.521232604980469
0.52249999999999996;-62.547992706298828;-62.547992706298828
0.56999999999999995;-62.495647430419922;-62.495647430419922
0.61749999999999994;-62.555343627929688;-62.555343627929688
0.66499999999999992;-62.583866119384766;-62.583866119384766
0.71249999999999991;-62.595481872558594;-62.595481872558594
0.7599999999999999;-62.5621337890625;-62.5621337890625
0.80749999999999988;-62.634151458740234;-62.634151458740234
0.85499999999999987;-62.584789276123047;-62.584789276123047
0.90249999999999986;-62.677433013916016;-62.677433013916016
0.94999999999999984;-62.743064880371094;-62.743064880371094
0.99749999999999983;-62.679252624511719;-62.679252624511719
1.0449999999999999;-62.808444976806641;-62.808444976806641
1.0925;-62.846675872802734;-62.846675872802734
1.1400000000000001;-62.83343505859375;-62.83343505859375
1.1875000000000002;-62.917491912841797;-62.917491912841797
1.2350000000000003;-62.978164672851563;-62.978164672851563
1.2825000000000004;-63.062416076660156;-63.062416076660156
1.3300000000000005;-62.954761505126953;-62.954761505126953
1.3775000000000006;-62.952915191650391;-62.952915191650391
1.4250000000000007;-62.906314849853516;-62.906314849853516
1.4725000000000008;-62.971343994140625;-62.971343994140625
1.5200000000000009;-62.940048217773437;-62.940048217773437
1.567500000000001;-62.86541748046875;-62.86541748046875
1.6150000000000011;-62.845951080322266;-62.845951080322266
1.6625000000000012;-62.910160064697266;-62.910160064697266
1.7100000000000013;-62.90960693359375;-62.90960693359375
1.7575000000000014;-62.869968414306641;-62.869968414306641
1.8050000000000015;-62.941150665283203;-62.941150665283203
1.8525000000000016;-62.916934967041016;-62.916934967041016
1.9000000000000017;-62.882919311523438;-62.882919311523438
1.9475000000000018;-62.830104827880859;-62.830104827880859
1.9950000000000019;-62.860683441162109;-62.860683441162109
2.0425000000000018;-62.831031799316406;-62.831031799316406
2.0900000000000016;-62.793483734130859;-62.793483734130859
2.1375000000000015;-62.756099700927734;-62.756099700927734
2.1850000000000014;-62.674518585205078;-62.674518585205078
2.2325000000000013;-62.799030303955078;-62.799030303955078
2.2800000000000011;-62.930870056152344;-62.930870056152344
2.327500000000001;-62.814739227294922;-62.814739227294922
2.3750000000000009;-62.862323760986328;-62.862323760986328
2.4225000000000008;-62.790534973144531;-62.790534973144531
2.4700000000000006;-62.737922668457031;-62.737922668457031
