Type;ESR-7;
Version;3.48;
Date;25.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-43.859745025634766;-43.859745025634766
0.047500000000000001;-43.863204956054687;-43.863204956054687
0.095000000000000001;-43.857196807861328;-43.857196807861328
0.14250000000000002;-43.864662170410156;-43.864662170410156
0.19;-43.863204956054687;-43.863204956054687
0.23749999999999999;-43.870128631591797;-43.870128631591797
0.28499999999999998;-43.867031097412109;-43.867031097412109
0.33249999999999996;-43.862480163574219;-43.862480163574219
0.37999999999999995;-43.867031097412109;-43.867031097412109
0.42749999999999994;-43.8734130859375;-43.8734130859375
0.47499999999999992;-43.870315551757813;-43.870315551757813
0.52249999999999996;-43.86065673828125;-43.86065673828125
0.56999999999999995;-43.862113952636719;-43.862113952636719
0.61749999999999994;-43.865756988525391;-43.865756988525391
0.66499999999999992;-43.857925415039063;-43.857925415039063
0.71249999999999991;-43.850830078125;-43.850830078125
0.7599999999999999;-43.841011047363281;-43.841011047363281
0.80749999999999988;-43.852287292480469;-43.852287292480469
0.85499999999999987;-43.856468200683594;-43.856468200683594
0.90249999999999986;-43.853012084960938;-43.853012084960938
0.94999999999999984;-43.846462249755859;-43.846462249755859
0.99749999999999983;-43.844463348388672;-43.844463348388672
1.0449999999999999;-43.835308074951172;-43.835308074951172
1.0925;-43.839374542236328;-43.839374542236328
1.1400000000000001;-43.83624267578125;-43.83624267578125
1.1875000000000002;-43.835121154785156;-43.835121154785156
1.2350000000000003;-43.823429107666016;-43.823429107666016
1.2825000000000004;-43.826396942138672;-43.826396942138672
1.3300000000000005;-43.806568145751953;-43.806568145751953
1.3775000000000006;-43.816570281982422;-43.816570281982422
1.4250000000000007;-43.807125091552734;-43.807125091552734
1.4725000000000008;-43.799350738525391;-43.799350738525391
1.5200000000000009;-43.798610687255859;-43.798610687255859
1.567500000000001;-43.784751892089844;-43.784751892089844
1.6150000000000011;-43.775337219238281;-43.775337219238281
1.6625000000000012;-43.781055450439453;-43.781055450439453
1.7100000000000013;-43.781612396240234;-43.781612396240234
1.7575000000000014;-43.788814544677734;-43.788814544677734
1.8050000000000015;-43.784751892089844;-43.784751892089844
1.8525000000000016;-43.786224365234375;-43.786224365234375
1.9000000000000017;-43.775703430175781;-43.775703430175781
1.9475000000000018;-43.7548828125;-43.7548828125
1.9950000000000019;-43.738521575927734;-43.738521575927734
2.0425000000000018;-43.736499786376953;-43.736499786376953
2.0900000000000016;-43.726036071777344;-43.726036071777344
2.1375000000000015;-43.735767364501953;-43.735767364501953
2.1850000000000014;-43.726589202880859;-43.726589202880859
2.2325000000000013;-43.723285675048828;-43.723285675048828
2.2800000000000011;-43.721820831298828;-43.721820831298828
2.327500000000001;-43.708816528320312;-43.708816528320312
2.3750000000000009;-43.709178924560547;-43.709178924560547
2.4225000000000008;-43.700214385986328;-43.700214385986328
2.4700000000000006;-43.693813323974609;-43.693813323974609
