Type;ESR-7;
Version;3.48;
Date;28.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-44.924488067626953;-44.924488067626953
0.047500000000000001;-44.923927307128906;-44.923927307128906
0.095000000000000001;-44.921348571777344;-44.921348571777344
0.14250000000000002;-44.908428192138672;-44.908428192138672
0.19;-44.926517486572266;-44.926517486572266
0.23749999999999999;-44.916915893554688;-44.916915893554688
0.28499999999999998;-44.914886474609375;-44.914886474609375
0.33249999999999996;-44.925224304199219;-44.925224304199219
0.37999999999999995;-44.911750793457031;-44.911750793457031
0.42749999999999994;-44.910457611083984;-44.910457611083984
0.47499999999999992;-44.911197662353516;-44.911197662353516
0.52249999999999996;-44.921348571777344;-44.921348571777344
0.56999999999999995;-44.908248901367188;-44.908248901367188
0.61749999999999994;-44.908985137939453;-44.908985137939453
0.66499999999999992;-44.902347564697266;-44.902347564697266
0.71249999999999991;-44.899406433105469;-44.899406433105469
0.7599999999999999;-44.905479431152344;-44.905479431152344
0.80749999999999988;-44.890567779541016;-44.890567779541016
0.85499999999999987;-44.890933990478516;-44.890933990478516
0.90249999999999986;-44.893692016601563;-44.893692016601563
0.94999999999999984;-44.888908386230469;-44.888908386230469
0.99749999999999983;-44.894798278808594;-44.894798278808594
1.0449999999999999;-44.886520385742188;-44.886520385742188
1.0925;-44.883392333984375;-44.883392333984375
1.1400000000000001;-44.876777648925781;-44.876777648925781
1.1875000000000002;-44.877147674560547;-44.877147674560547
1.2350000000000003;-44.872371673583984;-44.872371673583984
1.2825000000000004;-44.864482879638672;-44.864482879638672
1.3300000000000005;-44.869434356689453;-44.869434356689453
1.3775000000000006;-44.848541259765625;-44.848541259765625
1.4250000000000007;-44.845424652099609;-44.845424652099609
1.4725000000000008;-44.840850830078125;-44.840850830078125
1.5200000000000009;-44.840671539306641;-44.840671539306641
1.567500000000001;-44.828971862792969;-44.828971862792969
1.6150000000000011;-44.816192626953125;-44.816192626953125
1.6625000000000012;-44.809627532958984;-44.809627532958984
